id,title,published_at,source_name,category,civil_engineering_area,ai_technique,application_stage,keywords,summary
f62b700dd70ec5c9651150d93a7fbb44,"Civil engineer deficit forces shift to AI and robotics in bridge projects - Interesting Engineering",2025-10-07T07:00:00Z,"Google News - Civil Engineering AI",Robotics,"Construction Management",Robotics,Construction,"[""civil engineer shortage"", ""AI"", ""robotics"", ""bridge construction"", ""automation""]","The article suggests that a shortage of civil engineers is pushing the industry to adopt AI and robotics in bridge projects. This aims to automate certain construction processes and potentially improve efficiency and address the workforce gap."
23be0f111c681c0bad8c28bebf070be9,"AI powered mass collaboration for engineering - Engineering.com",2025-09-18T07:00:00Z,"Google News - Civil Engineering AI",Other,General,NLP,Multiple,"[""AI"", ""Mass Collaboration"", ""Engineering"", ""Communication"", ""Project Management""]","The article discusses the use of AI to facilitate and improve mass collaboration in engineering projects. It likely focuses on AI tools that enhance communication, knowledge sharing, and coordination among large teams, potentially leveraging NLP to analyze communication data."
879e27137d22f249fbec774bb47ee38f,"AI agent for civil design expands into NA - AEC Magazine",2025-09-16T07:00:00Z,"Google News - Civil Engineering AI",Design,General,"Machine Learning",Design,"[""AI agent"", ""civil design"", ""AEC"", ""North America""]","The article discusses an AI agent used for civil design. It highlights the expansion of its availability into the North American market, indicating its adoption and potential impact on the Architecture, Engineering, and Construction (AEC) industry."
926ee040fe45dfca7710420e7b2389e5,"ACE and Autodesk call on government to deliver AI in Engineering strategy - New Civil Engineer",2025-12-01T08:00:00Z,"Google News - Civil Engineering AI",Other,General,Other,Multiple,"[""AI strategy"", ""government"", ""ACE"", ""Autodesk"", ""Civil Engineering""]","The article discusses a call from ACE and Autodesk for the government to implement a comprehensive AI strategy within the engineering sector. It highlights the importance of AI adoption in civil engineering and construction and the need for governmental support."
415474b7ccedf830cf8a31e69b7b9274,"Responsible AI in structural engineering: a framework for ethical use - Frontiers",2025-06-30T23:16:57Z,"Google News - Civil Engineering AI",Other,Structural,"Machine Learning",Multiple,"[""Responsible AI"", ""Ethics"", ""Structural Engineering"", ""Framework""]","The article discusses the responsible and ethical use of AI in structural engineering. It proposes a framework for ensuring AI is used ethically in this field."
27e0513e34f600b1b6c6df7dce236290,"Engineering intelligence: Balancing the power of AI with human expertise - New Civil Engineer",2025-12-16T11:45:57Z,"Google News - Civil Engineering AI",Other,General,"Machine Learning",Multiple,"[""AI"", ""Civil Engineering"", ""Human Expertise""]","The article likely discusses the integration of AI, and specifically Machine Learning, with human expertise in civil engineering. It probably covers a broad overview rather than a specific application."
e094e050beb737d815e6e0c4b25bdcc7,"Conference Partnership with the ARTISTE 2025 on AI in Structural Engineering - Cambridge University Press & Assessment",2025-11-09T02:54:56Z,"Google News - Civil Engineering AI",Design,Structural,"Machine Learning",Design,"[""AI"", ""Structural Engineering"", ""Conference"", ""ARTISTE 2025""]","This announcement highlights a partnership between Cambridge University Press & Assessment and the ARTISTE 2025 conference, which focuses on the application of AI in structural engineering. This suggests a focus on leveraging AI techniques for the design and analysis of structural systems."
59bb2d474ea94c4ec9f9163b0c168408,"Engineering Symposium：AI-empowered future underground space | Call for Papers for the Special Issue – In Progress | Newswise - Newswise",2025-09-17T07:00:00Z,"Google News - Civil Engineering AI",Design,Geotechnical,Other,Multiple,"[""AI"", ""Underground Space"", ""Civil Engineering"", ""Geotechnical Engineering"", ""Design""]","The article announces a call for papers for a special issue on AI-empowered future underground space. This suggests that AI applications in the design, construction, and maintenance of underground structures (relevant to geotechnical engineering) will be explored."
eeb29f0c40b7b468a2725dad4a32e4ce,"How civil engineers can collaborate successfully with external AI providers - New Civil Engineer",2025-04-08T07:00:00Z,"Google News - Civil Engineering AI",General,General,Other,Multiple,"[""AI providers"", ""collaboration"", ""civil engineers"", ""partnership""]","The article discusses how civil engineers can effectively work with external AI providers. It likely covers strategies for successful partnerships, communication, and project integration when leveraging AI in civil engineering projects."
f74e085da6d5bec64e712882b1329137,"Agentic AI Developments for Autodesk Assistant in Civil 3D - Autodesk",2025-11-17T08:00:00Z,"Google News - Civil Engineering AI",Design,General,"Machine Learning",Design,"[""Agentic AI"", ""Autodesk Assistant"", ""Civil 3D"", ""Design Automation""]","The article discusses the development of Agentic AI for Autodesk Assistant in Civil 3D, indicating the application of AI in civil engineering design. This suggests the use of machine learning to enhance and automate design processes within the Civil 3D software."
4d0b8619e64d9e4439182cec56230b8c,"Bentley Unveils Platform Upgrades; Redoubles AI Investment - Engineering News-Record",2025-10-23T07:00:00Z,"Google News - Civil Engineering AI",BIM,General,"Machine Learning",Multiple,"[""Bentley"", ""AI"", ""Platform"", ""Infrastructure"", ""Engineering""]","The article discusses Bentley's platform upgrades and increased investment in AI. This suggests applications of AI/ML within their software suite related to civil engineering and construction processes."
26907ef97a7f493c7f76d92bd980dc15,"Agentic AI platform to help automate engineering - AEC Magazine",2025-11-17T08:00:00Z,"Google News - Civil Engineering AI",Other,General,Other,Multiple,"[""Agentic AI"", ""Automation"", ""Engineering"", ""AEC""]","The article discusses an Agentic AI platform aimed at automating engineering tasks. It broadly covers the application of AI in the architecture, engineering, and construction (AEC) industry."
f5c5680f9866d85ff56ef00fa3f45a4e,"Top 2025 AI Construction Trends: According to the Experts - Autodesk",2025-10-08T07:00:00Z,"Google News - Civil Engineering AI",Multiple,"Construction Management","Machine Learning",Planning/Construction/Operation,"[""AI in Construction"", ""Construction Trends"", ""Autodesk"", ""Artificial Intelligence"", ""Machine Learning""]","The article, published by Autodesk, likely discusses AI trends within the construction industry for 2025, covering applications of machine learning to various stages of construction. It probably highlights use cases and insights into how AI is being adopted to improve efficiency and decision-making."
2ac960caa29d412dab6807c488a8d057,"How Bentley Systems’ AI-Driven Innovations, Open Collaboration, and Digital Twin Technologies Are Shaping the Future of Sustainable Design, Construction, and Operations - ARCweb.com",2025-10-28T07:00:00Z,"Google News - Civil Engineering AI",Design,General,"Machine Learning",Multiple,"[""AI"", ""Digital Twin"", ""Bentley Systems"", ""Sustainable Design"", ""Construction""]","The article discusses how Bentley Systems utilizes AI-driven innovations, open collaboration, and digital twin technologies. These technologies are used to shape the future of sustainable design, construction, and operations in the civil engineering domain."
d2804b120ef09d9ef86fec7d8e836065,"Trunk Tools Closes $40M Series B for Construction AI - insideAI News",2025-07-24T07:00:00Z,"Google News - Civil Engineering AI",Other,"Construction Management",AI,Multiple,"[""Construction AI"", ""Trunk Tools"", ""Series B Funding""]","Trunk Tools secured $40M in Series B funding to advance their AI solutions for the construction industry. The article suggests the AI solutions are broadly applicable to construction, though specific applications are not detailed in this title."
09fc254252ca7861a6890da7468e5673,"How AI is rebuilding the future of Civil Engineering - India Today",2025-11-06T08:00:00Z,"Google News - Civil Engineering AI",Multiple,General,"Machine Learning",Multiple,"[""AI"", ""Civil Engineering"", ""Construction""]","The article discusses the application of AI in rebuilding the future of Civil Engineering. While broad, the title suggests relevance to the intersection of AI and civil engineering applications."
14fa0db4f498aef696fd90175c764a4f,"Report shows how AI drives shift in UK engineering and consultancy sector - World Construction Network",2025-12-02T08:00:00Z,"Google News - Civil Engineering AI",Other,General,Other,Multiple,"[""AI"", ""UK"", ""Engineering"", ""Consultancy"", ""Construction""]","The article discusses how AI is driving a shift in the UK engineering and consultancy sector. It's a broad overview without specifics, but indicates the adoption of AI within the industry."
b0967b816306d81b7f683fb121a736a7,"The next gold rush: Unlocking the power of spatial AI in engineering - New Civil Engineer",2025-12-04T08:00:00Z,"Google News - Civil Engineering AI",Design,General,"Machine Learning",Planning/Design,"[""Spatial AI"", ""Engineering Design"", ""Infrastructure"", ""Optimization"", ""GIS""]","The article discusses the application of Spatial AI in engineering, specifically focusing on using AI to analyze geographic data and improve design processes for infrastructure projects. It highlights the potential of Spatial AI to optimize planning and design by leveraging spatial data and machine learning techniques."
e6825ad988ebfb953cb6e464a5737d79,"Melbourne’s multi-billion road project brings UK-based AI firm onboard to shore up delivery - New Civil Engineer",2025-12-09T08:00:00Z,"Google News - Civil Engineering AI",Scheduling,"Construction Management","Predictive Analytics",Construction,"[""road project"", ""AI"", ""project delivery""]","A multi-billion road project in Melbourne is using AI from a UK-based firm to improve project delivery. This suggests predictive analytics or machine learning is being employed to optimize schedules or resource allocation."
4e053651e78d0a75ecfd89321f3af118,"Improving predictions of flood severity, place and time with AI - Penn State University",2025-07-02T07:00:00Z,"Google News - Civil Engineering AI",Monitoring,Hydraulic,"Machine Learning",Planning,"[""flood prediction"", ""AI"", ""machine learning"", ""flood severity"", ""flood location"", ""flood timing""]","The article discusses using AI to improve predictions related to flood events. Specifically, it focuses on the application of machine learning to enhance the accuracy of predicting flood severity, location, and timing."
6885aa9538222f222886b2ca3b0fec1c,"Will AI break the bottom rungs of construction’s career ladder? - constructconnect.com",2025-07-02T07:00:00Z,"Google News - Civil Engineering AI",Other,"Construction Management",Robotics,Construction,"[""AI"", ""Construction"", ""Career ladder"", ""Robotics"", ""Automation""]","The article discusses the potential impact of AI, particularly robotics and automation, on entry-level jobs in the construction industry. It explores whether these technologies will eliminate the bottom rungs of the career ladder for construction workers."
af93a4800664494748960ea1ec30cd5e,"Dynamic Infrastructure Announces County-Wide Deployments of Engineering AI™ for Culvert & Pipe Prioritization in Flood and Water Management - PR Newswire",2025-08-12T07:00:00Z,"Google News - Civil Engineering AI",Maintenance,Hydraulic,"Machine Learning",Planning/Maintenance,"[""culvert"", ""pipe"", ""prioritization"", ""flood management"", ""water management"", ""asset management""]","The article announces county-wide deployments of an ""Engineering AI"" system for prioritizing culvert and pipe maintenance. This system helps in flood and water management by intelligently assessing and ranking infrastructure needs."
5a76f83de5c71b695f8ddf32cfb5af2d,"Exodigo Launches Engineering Services Division to Enhance AI-Driven Project Delivery - For Construction Pros",2025-10-22T07:00:00Z,"Google News - Civil Engineering AI",Construction,"Construction Management","Machine Learning",Planning,"[""AI"", ""Exodigo"", ""Engineering Services"", ""Project Delivery"", ""Construction""]","Exodigo launched an engineering services division to improve project delivery. They leverage AI (presumably machine learning) for construction projects, although specific AI techniques and applications are not described in the title alone."
76b9471cc952663a796e6b74343bce90,"From Building Bridges to Building Intelligence: How Shail Khiyara is Rewiring the Future of AI - New Jersey Institute of Technology",2025-07-10T07:00:00Z,"Google News - Civil Engineering AI",Other,General,Other,Multiple,"[""AI"", ""Civil Engineering"", ""Interdisciplinary"", ""New Jersey Institute of Technology""]","The article discusses Shail Khiyara's work in applying AI to civil engineering problems. It highlights an interdisciplinary approach combining expertise in both fields."
26e09480236bd29892a529516832ca10,"The AI Method Making Concrete Testing Instant - AZoBuild",2025-12-05T08:00:00Z,"Google News - Civil Engineering AI","Quality Control",Materials,"Deep Learning",Construction,"[""concrete"", ""testing"", ""artificial intelligence"", ""deep learning"", ""quality control""]","The article discusses the use of AI, particularly deep learning, to instantly test concrete. This approach aims to accelerate the quality control process during construction."
038412f50c15aa458264edf4e189ecec,"75% of construction professionals using AI to improve workflows, survey reveals - New Civil Engineer",2025-09-09T07:00:00Z,"Google News - Civil Engineering AI",Other,"Construction Management",Other,Multiple,"[""AI"", ""Construction"", ""workflows"", ""survey"", ""automation""]","A survey reveals that 75% of construction professionals are using AI to improve their workflows. This suggests a widespread adoption of AI technologies within the construction industry."
5e44abd63d6f34290ec92845c1ab9890,"OpenSpace Adds Auto-Location for Indoor Construction and Visual AI - Engineering News-Record",2025-09-11T07:00:00Z,"Google News - Civil Engineering AI",Monitoring,"Construction Management","Computer Vision",Construction,"[""construction progress"", ""indoor mapping"", ""visual AI"", ""auto-location""]","The article discusses OpenSpace's new feature that uses visual AI to automatically locate and track progress in indoor construction environments. This enables improved monitoring and documentation of construction projects."
da5ee18ffb16b5b6cfba442a6b26e074,"MSU’s College of Engineering uses AI to prevent future infrastructure disasters - WILX",2025-03-26T07:00:00Z,"Google News - Civil Engineering AI",Monitoring,General,"Predictive Analytics",Multiple,"[""infrastructure"", ""disaster prevention"", ""AI"", ""MSU"", ""engineering""]","The article discusses Michigan State University's (MSU) College of Engineering using AI to prevent future infrastructure disasters. This implies the use of predictive analytics or other AI techniques for infrastructure monitoring and risk assessment."
61094e8d01ebe64e7115bb5bc4f91593,"Three case studies show AI in practice within geotechnical engineering - geplus.co.uk",2025-09-23T07:00:00Z,"Google News - Civil Engineering AI",Design,Geotechnical,"Machine Learning",Multiple,"[""geotechnical engineering"", ""artificial intelligence"", ""case studies"", ""site investigation"", ""risk assessment""]","The article discusses three case studies where AI is applied in geotechnical engineering. This suggests real-world applications beyond mere digitalization, likely involving machine learning for design, risk assessment, or site investigation analysis."
97f1bf1979a8359d86e8048bd3cef513,"Aecom urges government to appoint infrastructure minister and embrace AI to speed delivery - New Civil Engineer",2025-10-29T07:00:00Z,"Google News - Civil Engineering AI",Other,"Construction Management",Other,Planning/Construction/Operation,"[""AI"", ""infrastructure"", ""delivery"", ""government"", ""Aecom""]","Aecom is advocating for the UK government to embrace AI in order to speed up infrastructure project delivery. The article highlights the potential benefits of AI in optimizing processes within the industry."
28096196b7b88236799e1a2e0e1209ec,"AI and the energy grid: A double-edged sword - New Civil Engineer",2025-08-12T07:00:00Z,"Google News - Civil Engineering AI",Other,General,"Machine Learning",Operation/Maintenance/Multiple,"[""energy grid"", ""AI"", ""machine learning"", ""power distribution"", ""optimization""]","The article discusses the application of AI, particularly machine learning, to optimize and manage energy grids. It highlights both the potential benefits and risks associated with using AI in this critical infrastructure system."
841bdc6f7b49402181e72b711a427dfa,"UC Irvine to lead use of AI in solving grand challenges below Earth’s surface - UC Irvine News",2025-06-09T07:00:00Z,"Google News - Civil Engineering AI",Other,Geotechnical,"Machine Learning",Multiple,"[""AI"", ""Subsurface"", ""Geotechnical Engineering"", ""Machine Learning"", ""Earth Sciences""]","The article discusses UC Irvine leading the use of AI to solve challenges below the Earth's surface. This implies application of AI/ML to areas such as geotechnical engineering and earth sciences."
6aea9f48e71f6da49e21c91f3caa46b7,"Exodigo establishes engineering services division powered by AI - American Journal of Transportation",2025-10-08T07:00:00Z,"Google News - Civil Engineering AI",Other,General,AI,Multiple,"[""Exodigo"", ""engineering services"", ""AI"", ""underground mapping""]","The article announces the establishment of an engineering services division by Exodigo, powered by AI. It suggests the use of AI within engineering services, implying AI's use in the civil engineering/construction domain, likely related to Exodigo's underground mapping technologies."
16ac28ffc81b55f92a89f876a82ab397,"Can AI address ‘daunting’ sectoral challenges from climate resilience to skills? - New Civil Engineer",2025-10-15T07:00:00Z,"Google News - Civil Engineering AI",Other,General,Other,Multiple,"[""AI"", ""Climate Resilience"", ""Skills"", ""Civil Engineering"", ""Sectoral Challenges""]","The article explores the potential of AI to address significant challenges in the civil engineering sector, including climate resilience and skills gaps. It broadly considers the application of AI without specifying a particular technique."
d4c3299f6148223a8a1153cb0b1a11ed,"Northern Ireland: DfI embraces AI and ‘digital stock-take’ to grapple with roads crisis - New Civil Engineer",2025-12-05T08:00:00Z,"Google News - Civil Engineering AI",Maintenance,Transportation,"Computer Vision",Maintenance,"[""AI"", ""Digital Stock-take"", ""Roads"", ""Maintenance"", ""DfI"", ""Northern Ireland""]","The Department for Infrastructure (DfI) in Northern Ireland is using AI, specifically through a 'digital stock-take,' to address a roads crisis. This likely involves using computer vision to assess road conditions and prioritize maintenance efforts."
baf58283d4a01ce7073700d70026e61d,"Bluebeam Acquires Firmus AI, Nemetschek Expands Construction Documents AI Portfolio - Engineering News-Record",2025-09-23T07:00:00Z,"Google News - Civil Engineering AI",BIM,"Construction Management","Machine Learning",Construction,"[""Bluebeam"", ""Firmus AI"", ""Nemetschek"", ""Construction Documents"", ""AI""]","Bluebeam's acquisition of Firmus AI and Nemetschek's expansion indicates the growing application of AI, specifically Machine Learning, to construction documents within the BIM domain. This suggests improvements in managing and analyzing construction documentation using AI-powered tools."
2d5436e073545af47a301947a07ced81,"Architects and engineers are relying daily on AI to design infrastructure, Arup survey reveals - New Civil Engineer",2025-05-07T07:00:00Z,"Google News - Civil Engineering AI",Design,General,"Machine Learning",Design,"[""AI"", ""infrastructure design"", ""Arup"", ""architects"", ""engineers""]","The New Civil Engineer article reports on an Arup survey revealing that architects and engineers are using AI daily for infrastructure design. This indicates the integration of AI/ML technologies in the civil engineering design process."
0a67da20cd958fac3ef11c527aec26c9,"Government releases blueprint for AI regulation to help speed up planning approvals - New Civil Engineer",2025-10-22T07:00:00Z,"Google News - Civil Engineering AI",Other,General,"Machine Learning",Planning,"[""AI regulation"", ""planning approvals"", ""government blueprint""]","The government has released a regulatory blueprint for AI to expedite planning approvals. This suggests the use of AI, likely machine learning, to streamline the planning approval process."
954a03cdb947804be89c2d847eccfa6b,"UA Little Rock Instructor Develops AI Boot Camp to Modernize Construction Management Education - UA Little Rock",2025-04-15T07:00:00Z,"Google News - Civil Engineering AI","Construction Management","Construction Management","Machine Learning",Multiple,"[""AI"", ""Construction Management"", ""Education"", ""Boot Camp"", ""Modernization""]","A UA Little Rock instructor is developing an AI boot camp to modernize construction management education. This initiative suggests an effort to integrate AI/ML into various stages within the construction management process."
1b40c02a1ae3b7fa6eeadcd749871d28,"Dame Sarah Springman on climate risks and the limits of AI in engineering - Interesting Engineering",2025-11-26T08:00:00Z,"Google News - Civil Engineering AI",Other,General,Other,Multiple,"[""climate change"", ""artificial intelligence"", ""engineering limits"", ""risk assessment"", ""sustainability""]","The article discusses Dame Sarah Springman's perspective on climate risks in engineering and the limitations of relying solely on AI for solutions. It likely explores the need for human expertise and ethical considerations alongside AI adoption in addressing climate-related challenges in civil engineering."
7a9266a7c37f2900e566cf0b3b0b5c98,"Texas A&M Researchers Map America’s Power Outage Hot Spots Using AI - Texas A&M Stories",2025-08-14T07:00:00Z,"Google News - Civil Engineering AI",Maintenance,General,"Machine Learning",Planning/Operation/Maintenance,"[""power outage"", ""AI"", ""machine learning"", ""grid resilience"", ""risk assessment""]","Texas A&M researchers are using AI to map power outage hotspots across the US. This information can be used to improve grid resilience and prioritize maintenance efforts in high-risk areas."
027fd2a609a6074183b46467b60503db,"AI turns drone footage into disaster response maps in minutes - EurekAlert!",2025-07-30T07:00:00Z,"Google News - Civil Engineering AI",Safety,Surveying,"Computer Vision",Operation,"[""drone"", ""disaster response"", ""mapping"", ""AI"", ""computer vision""]","The article discusses the use of AI to quickly process drone footage to create disaster response maps. This implies the use of computer vision to automatically analyze aerial imagery and generate useful map products for emergency responders."
a0ed8168a5aa0f47eebfd69f2b411563,"UK’s infrastructure cyber resilience questioned after first AI-orchestrated attack confirmed - New Civil Engineer",2025-11-18T08:00:00Z,"Google News - Civil Engineering AI",Safety,General,"Machine Learning",Operation,"[""cybersecurity"", ""AI"", ""infrastructure"", ""cyber attack"", ""resilience""]","The article discusses concerns about the UK's infrastructure cyber resilience following a confirmed AI-orchestrated cyber attack. It raises questions about the sector's vulnerability to sophisticated AI-driven threats."
d80b2a3298115be78061cbfe19cf861a,"Adoption of AI for sustainable construction stressed at 4th international civil engineering conference - Associated Press of Pakistan",2025-12-18T14:41:09Z,"Google News - Civil Engineering AI",Other,"Construction Management",Other,Multiple,"[""AI"", ""sustainable construction"", ""civil engineering""]","The article highlights the importance of adopting AI for sustainable construction, as emphasized at the 4th international civil engineering conference. It suggests a focus on using AI to improve sustainability within the construction industry."
475172ca83cb6e7b05bbd1640aca20f5,"AI in Construction | Practical Law The Journal - Reuters",2025-11-01T07:00:00Z,"Google News - Civil Engineering AI",Multiple,"Construction Management","Machine Learning",Multiple,"[""AI"", ""Construction"", ""Machine Learning"", ""Automation"", ""Reuters""]","Based on the title provided, the article likely discusses the application of AI in the construction industry. Given that it is published by Reuters' Practical Law The Journal, the focus may include various AI/ML technologies and applications across different stages of a construction project."
0c9c93da3f6d2fcaf9cc4c3cca3a0d5d,"Digital tools and AI are enhancing nature-based solutions - New Civil Engineer",2025-10-31T07:00:00Z,"Google News - Civil Engineering AI",Design,Environmental,"Machine Learning",Planning/Design/Operation/Maintenance,"[""nature-based solutions"", ""AI"", ""digital tools"", ""environmental engineering"", ""sustainability""]","The article discusses the use of digital tools and AI, specifically machine learning, to enhance nature-based solutions in civil engineering. This involves leveraging AI for improved planning, design, operation, and maintenance of environmentally friendly infrastructure projects."
a8e450b023e49897ae971d4754a19c6e,"AI Agents in Engineering Management Market Size | CAGR of 19% - Market.us",2025-05-29T02:34:34Z,"Google News - Civil Engineering AI","Construction Management","Construction Management","Machine Learning",Multiple,"[""AI Agents"", ""Engineering Management"", ""Market Size"", ""CAGR""]","The article discusses the market size and Compound Annual Growth Rate (CAGR) of AI agents in engineering management. This suggests the application of AI/ML technologies to various aspects of engineering management within construction and other fields."
03267cf989631b46651f9e30b039418b,"Hong Kong develops AI-driven landslip warning system with more than 90% accuracy - South China Morning Post",2025-10-14T07:00:00Z,"Google News - Civil Engineering AI",Safety,Geotechnical,"Machine Learning",Operation,"[""landslide"", ""landslip"", ""warning system"", ""AI"", ""Hong Kong"", ""geotechnical engineering"", ""risk assessment""]","Hong Kong has developed an AI-driven landslip warning system that boasts over 90% accuracy. This system likely uses machine learning to predict and alert authorities about potential landslides, enhancing safety in the region."
b11c8dc844b0f72884b1b1eef4a9d411,"Research Uses AI to Make Infrastructure More Resilient, Sustainable - University of Mississippi | Ole Miss",2025-02-12T08:00:00Z,"Google News - Civil Engineering AI",Maintenance,General,"Machine Learning",Multiple,"[""Infrastructure Resilience"", ""Sustainability"", ""Artificial Intelligence""]","The research uses AI to improve the resilience and sustainability of infrastructure. This involves application of AI in different stages of the infrastructure lifecycle."
5790449b68f7485a5d08ddf26e82ee2b,"Ultimarii: Calgary Startup Uses AI to Fast-Track Major Infrastructure - Calgary Economic Development",2025-09-17T07:00:00Z,"Google News - Civil Engineering AI",Scheduling,"Construction Management","Machine Learning",Planning/Construction,"[""AI"", ""Infrastructure"", ""Construction"", ""Scheduling"", ""Fast-Track""]","The Calgary startup, Ultimarii, uses AI to accelerate major infrastructure projects. This likely involves machine learning techniques to optimize project schedules and resource allocation during the planning and construction phases."
9f43b08b62c25f7bf12356a63717befc,"Using tech, AI to make construction jobs appeal to women - DW",2025-04-20T07:00:00Z,"Google News - Civil Engineering AI",Other,"Construction Management",Other,Multiple,"[""AI"", ""construction"", ""women"", ""technology"", ""workforce""]","The article discusses using technology and AI to attract more women to construction jobs. It suggests that AI and technology can make the industry more appealing, potentially by automating physically demanding tasks and creating more inclusive work environments."
